n°HD  RA_h RA_m RA_s  DEC_d DEC_m DEC_s  Mv
6644  21 42 22.9  41 4 38  5.69
6658  1 8 00.9  43 56 31  5.03
6668  1 7 13.1  -23 59 47  6.37
6672  21 42 05.7  51 11 23  4.67
6676  1 8 33.3  58 15 49  5.79
6677  12 15 41.4  72 33 3  6.29
6680  1 8 01.3  32 0 44  6.25
6690  12 16 07.6  40 39 37  5.66
6695  1 7 57.2  20 44 21  5.55
6706  1 7 46.2  -9 47 8  5.82
6714  12 16 20.5  23 56 43  4.95
6731  21 42 38.9  49 36 1  6.09
6732  11 34 45.7  -54 15 51  4.62
6749  21 43 06.4  41 9 18  5.49
6760  12 16 30.1  33 3 41  5.00
6763  1 8 22.2  5 38 59  5.52
6767  1 7 47.9  -41 29 13  5.21
6774  21 43 25.7  38 17 2  5.65
6793  1 7 18.7  -61 46 31  5.37
6798  1 12 16.7  79 40 26  5.64
6805  1 8 35.4  -10 10 56  3.45
6811  1 9 30.2  47 14 31  4.25
6826  21 44 08.6  28 44 34  4.73
6827  21 44 08.3  28 44 35  6.08
6829  1 10 39.3  68 46 43  5.29
6842  21 42 45.4  59 16 16  6.08
6860  1 9 43.9  35 37 14  2.06
6882  1 8 23.1  -55 14 45  3.92
6884  12 17 29.5  53 11 28  5.81
6887  12 17 30.5  28 56 14  5.70
6901  21 44 38.7  25 38 42  4.13
6903  1 9 49.2  19 39 31  5.55
6920  1 10 18.8  42 4 53  5.65
6936  21 43 30.4  58 46 48  4.08
6952  21 41 55.3  71 18 41  4.56
6953  1 10 19.4  25 27 28  5.80
6960  1 11 25.6  64 12 10  5.55
6961  1 11 06.2  55 8 59  4.33
6966  1 10 11.5  15 40 27  6.06
6972  1 11 41.4  65 1 8  5.57
6976  1 10 12.0  -8 54 22  6.40
7014  1 10 33.6  2 26 44  5.95
7019  1 11 10.3  37 43 27  5.81
7022  21 6 25.5  -41 23 10  5.53
7034  1 11 06.8  31 25 29  5.16
7054  12 18 31.6  30 14 57  6.23
7082  1 10 07.4  -57 41 40  6.41
7082  11 34 56.8  -49 8 12  5.50
7087  1 11 27.2  21 2 5  4.66
7088  21 45 44.5  35 51 26  6.40
7089  21 46 04.4  22 56 56  5.29
7106  1 11 39.6  30 5 23  4.51
7113  12 16 51.4  86 26 10  6.33
7130  21 43 04.0  72 19 13  5.17
7131  12 19 02.1  26 0 28  6.48
7134  21 46 24.0  25 33 48  6.28
7147  1 11 43.5  -2 15 4  5.94
7157  1 13 09.9  61 42 21  6.41
7158  1 12 34.0  45 20 16  6.11
7168  12 19 19.1  23 2 5  6.27
7182  21 6 01.2  -30 7 30  5.68
7192  12 15 20.3  87 42 0  6.28
7193  12 18 49.9  75 9 38  5.38
7198  21 44 53.3  62 27 38  5.95
7213  12 19 29.6  28 9 25  6.33
7218  21 46 16.6  43 3 39  6.54
7229  1 12 59.5  30 3 51  6.19
7238  1 16 30.7  79 54 36  6.26
7259  1 12 23.4  -30 48 8  6.52
7260  21 45 26.9  61 7 15  4.29
7274  12 19 48.7  48 59 3  5.29
7312  1 12 45.4  -37 51 23  5.92
7318  1 13 44.9  24 35 1  4.65
7325  12 20 19.7  26 37 10  5.54
7326  12 20 17.7  26 0 7  6.15
7330  21 46 47.6  49 18 34  4.23
7332  11 35 13.2  -47 22 21  5.71
7344  1 13 43.9  7 34 31  5.24
7345  1 13 45.3  7 34 42  6.30
7351  1 14 05.0  28 31 47  6.43
7374  1 14 07.6  16 8 1  5.98
7389  1 16 12.1  71 44 38  7.83
7398  12 20 41.3  27 3 17  7.13
7439  1 14 24.0  -7 55 23  5.13
7446  1 14 42.4  6 59 43  6.03
7446  21 48 08.3  36 34 50  6.47
7465  12 20 50.8  57 51 50  5.55
7476  1 14 49.2  0 58 26  5.70
7512  21 8 32.9  -63 55 44  5.76
7516  21 48 29.4  38 38 55  6.12
7528  21 47 25.3  60 41 34  5.52
7546  1 16 24.5  48 4 56  6.61
7563  21 49 26.9  20 27 45  6.29
7570  1 15 11.1  -45 31 53  4.96
7578  1 16 18.8  33 6 53  6.02
7611  21 5 56.8  -17 13 58  4.07
7632  21 6 24.7  -32 20 30  5.18
7636  21 47 01.0  70 9 3  6.29
7647  1 17 05.1  44 54 7  6.34
7650  21 49 50.7  30 10 27  5.04
7655  12 22 10.8  24 46 26  6.19
7672  1 16 36.3  -2 30 1  5.41
7673  21 49 40.1  41 8 56  6.48
7700  12 22 30.3  25 50 46  4.81
7724  1 17 24.1  31 44 41  6.73
