n°HD  RA_h RA_m RA_s  DEC_d DEC_m DEC_s  Mv
709021  18 32 20.8  -14 38 39  6.37
709201  18 31 57.0  -1 0 11  5.94
709302  8 22 31.6  -48 29 25  4.82
709371  8 24 36.4  -4 43 1  6.01
709461  8 23 17.2  -38 17 9  6.32
709581  8 24 35.0  -3 45 4  5.61
709731  18 32 07.0  3 39 35  6.43
709751  18 32 43.3  -14 51 56  5.50
709822  8 21 07.7  -64 6 22  6.12
710342  18 33 57.8  -33 1 0  5.28
710432  8 22 55.2  -52 7 26  5.85
710462  8 19 49.0  -71 30 54  5.37
710662  8 20 00.7  -71 30 19  5.65
710951  8 25 35.5  2 6 8  5.73
711151  8 25 54.8  7 33 52  5.13
711151  18 33 53.5  -24 1 57  5.49
711292  8 22 30.8  -59 30 35  1.86
711301  18 33 39.0  -14 51 13  5.76
711411  8 24 55.1  -23 9 13  5.68
711491  18 33 22.9  -5 54 41  6.36
711551  8 25 39.6  -3 54 23  3.90
711612  18 51 57.9  -83 18 59  7.16
711761  8 25 03.7  -24 2 46  5.28
711961  8 25 19.1  -21 2 45  6.01
712311  8 25 39.4  -17 26 22  6.44
712371  18 34 32.8  -24 13 21  6.51
712432  8 18 31.6  -76 55 11  4.07
712471  18 33 23.3  8 16 6  6.42
712671  8 25 55.6  -14 55 47  5.98
712971  8 26 27.2  -3 59 15  5.59
713022  8 24 57.2  -42 46 10  5.98
713691  18 35 21.3  -20 50 27  6.48
713771  8 26 41.9  -12 32 4  5.54
713911  18 35 02.4  -10 58 38  5.14
714161  18 35 59.7  -29 41 57  6.37
714331  8 27 17.2  -6 24 35  6.59
714431  18 35 12.4  -8 14 39  3.85
714592  8 25 51.9  -42 9 12  5.47
714871  8 26 17.6  -39 3 34  6.53
714881  8 26 18.2  -39 3 37  7.25
715051  18 34 47.5  10 53 30  6.40
715102  8 25 31.0  -51 43 41  5.17
715231  8 26 50.8  -29 12 55  6.73
715762  8 22 04.4  -73 24 0  5.29
715811  8 27 33.3  -20 50 38  6.56
716221  8 27 16.4  -31 40 23  6.33
716231  18 35 12.6  18 12 12  5.78
716631  8 28 29.2  -2 31 2  6.39
716651  8 28 19.7  -8 48 58  6.43
716881  8 27 53.5  -26 7 57  6.62
717012  8 20 38.5  -77 29 4  4.35
717222  8 26 25.2  -52 48 27  6.05
717461  18 35 53.2  16 58 32  6.21
717592  18 43 02.1  -71 25 41  4.01
717661  8 28 50.9  -9 44 54  6.00
718011  8 27 59.3  -35 6 50  5.75
718021  18 36 27.8  9 7 21  5.39
718151  8 28 35.9  -23 4 18  6.51
718192  18 39 14.3  -47 54 35  5.86
718331  8 28 53.3  -20 57 1  6.67
718341  18 36 39.1  6 40 19  5.45
718561  18 37 54.4  -21 23 52  5.94
718632  8 25 51.6  -64 36 3  5.97
718782  8 25 44.2  -66 8 13  3.77
719192  8 27 27.4  -55 0 42  6.53
719352  8 27 36.5  -53 5 19  5.09
719571  18 38 04.6  -14 0 17  6.47
719611  18 38 30.7  -23 30 18  5.81
719672  18 39 35.0  -43 11 10  5.37
719751  18 37 12.6  11 25 18  6.42
719781  18 37 36.0  0 18 34  5.75
719902  18 47 49.4  -77 52 2  6.39
719941  18 37 09.0  16 11 54  6.29
719971  8 29 27.6  -27 19 57  6.70
720212  18 42 22.5  -64 38 35  6.37
720511  18 38 53.4  -21 3 7  5.86
720672  8 29 07.6  -44 9 38  5.79
720881  18 38 23.7  -3 11 37  6.49
721031  18 38 19.1  -1 6 48  6.66
721082  8 29 04.7  -47 55 45  5.33
721272  8 29 27.6  -44 43 30  4.99
721711  18 38 21.0  8 50 2  6.4
722081  8 31 54.6  9 48 52  6.83
722112  18 43 37.2  -64 33 4  5.78
722232  18 41 30.6  -48 5 42  6.49
722271  8 30 28.6  -32 9 34  5.65
722322  8 29 45.6  -46 19 55  5.99
722681  8 30 29.6  -36 43 16  6.69
723101  8 31 30.9  -19 34 39  5.42
723222  8 29 36.3  -55 11 28  6.36
723372  8 27 16.9  -70 5 36  5.53
723481  18 40 00.5  -7 47 26  5.84
723502  8 30 39.2  -44 44 14  6.30
723651  18 39 36.9  5 15 51  6.38
724241  18 39 51.6  7 21 30  6.28
724361  8 31 24.6  -39 3 51  6.31
724621  8 32 33.3  -15 1 46  6.38
724852  8 31 10.8  -47 52 0  6.39
725461  18 41 51.6  -23 50 0  6.23
725552  18 45 26.9  -64 52 17  4.79
725611  8 33 43.5  4 45 24  5.87
725941  18 41 42.5  -14 33 51  6.42
726171  8 34 13.3  8 27 7  6.03
726261  8 33 04.8  -24 36 23  6.19
726302  18 45 11.5  -61 5 42  6.04
726502  8 31 29.6  -54 23 39  6.34
726601  8 34 01.6  -2 9 6  5.81
726731  8 32 51.5  -31 30 3  6.38
726881  8 32 58.6  -34 38 2  6.36
727372  8 32 04.8  -53 12 44  5.69
727481  18 42 16.4  -9 3 9  4.72
727772  18 43 46.9  -38 19 25  5.13
727812  18 45 23.7  -56 52 54  6.22
727871  8 33 19.9  -38 22 16  6.49
728161  18 42 55.2  -19 17 2  6.35
728311  18 42 36.1  -7 4 24  6.15
728321  8 33 38.3  -38 50 56  5.96
728752  18 44 07.7  -36 43 7  6.32
728812  18 49 43.5  -72 59 41  6.06
729002  8 33 30.4  -46 58 16  6.24
729081  8 35 24.9  2 44 37  6.33
729102  18 44 19.4  -35 38 31  4.87
729222  8 24 19.8  -80 54 51  5.69
729451  8 35 51.0  6 37 12  5.99
729461  8 35 51.3  6 37 21  7.25
729541  8 34 31.7  -32 35 55  6.43
729681  8 35 28.2  -7 58 56  5.72
729912  18 44 57.2  -39 41 11  5.43
729931  8 34 29.3  -37 36 41  6.30
730091  18 43 31.3  -8 16 31  4.90
730721  8 35 28.8  -26 50 37  5.96
730931  18 43 51.4  -6 49 7  6.31
731171  18 44 49.6  -25 0 40  5.83
731211  8 35 12.6  -39 58 12  6.47
731431  8 37 05.8  9 39 20  5.88
731552  8 34 43.6  -49 56 39  5.01
731682  18 48 37.8  -65 4 40  5.73
732621  8 37 39.4  5 42 13  4.16
732632  18 46 59.1  -50 5 40  6.54
732811  8 37 27.1  -4 56 1  6.19
732821  18 45 18.7  -21 0 5  6.36
733001  18 45 39.4  -26 59 27  3.17
733161  8 38 05.2  9 34 29  6.53
733402  8 35 52.1  -50 58 12  5.80
733701  18 44 49.9  2 3 36  5.02
733892  8 35 19.6  -58 0 33  4.86
733902  8 35 15.4  -58 13 30  5.26
734251  18 46 01.2  -19 36 23  6.42
734511  8 38 20.3  -6 39 45  6.51
734601  18 46 20.6  -22 23 32  5.37
734682  8 32 42.2  -73 21 24  6.12
734711  8 38 45.4  3 20 29  4.44
734761  8 37 29.7  -33 44 45  6.48
734951  8 37 52.2  -26 15 18  5.27
734951  18 45 28.4  5 29 59  5.83
735241  8 37 19.9  -40 8 51  6.55
735402  18 47 44.6  -40 24 22  5.24
735991  8 39 24.6  8 1 2  6.45
736031  8 38 40.3  -19 44 13  6.33
736342  8 37 38.7  -42 59 21  4.14
736381  18 46 43.3  -10 7 30  5.71
736541  18 46 28.5  0 57 42  5.90
737152  18 48 50.5  -43 40 48  5.49
737521  8 39 08.0  -22 39 43  5.05
737641  18 47 10.5  -4 44 52  4.22
737912  18 49 27.4  -45 48 37  5.81
738191  18 47 29.0  -5 42 18  5.20
738331  18 46 41.4  18 42 21  6.17
738401  8 40 01.5  -12 28 31  4.98
738612  18 49 35.0  -43 26 2  5.61
738801  18 47 01.3  18 10 53  4.36
738872  8 37 18.8  -62 51 13  5.47
738981  8 39 42.5  -29 33 40  4.89
739001  8 39 22.1  -36 36 25  6.13
739022  18 49 17.2  -34 44 55  6.62
739281  18 48 45.3  -18 36 5  6.47
739482  18 52 13.0  -62 11 15  4.22
739522  8 38 44.9  -53 5 26  6.47
739541  18 48 02.7  4 14 29  6.21
739971  8 41 01.6  -9 3 7  6.63
740061  8 40 06.2  -35 18 30  3.97
740672  8 40 19.3  -40 15 51  5.20
740712  8 39 23.8  -53 26 23  5.48
741151  18 49 35.5  -19 8 32  6.75
741161  18 49 40.1  -20 19 29  5.24
741371  8 41 43.3  -15 56 36  4.88
741462  8 39 57.6  -53 3 18  5.19
741482  8 39 13.2  -60 19 2  6.36
741672  8 40 35.3  -45 11 29  5.71
741802  8 40 37.6  -46 38 56  3.84
741901  8 42 09.8  -11 57 58  6.45
741952  8 40 17.6  -52 55 19  3.62
741962  8 40 17.4  -53 0 55  5.61
742081  18 49 41.0  -5 54 46  5.99
742401  18 49 37.1  0 50 9  6.25
742621  18 48 53.4  19 19 43  5.88
742722  8 41 13.1  -47 19 1  4.77
742732  8 41 05.3  -48 55 21  5.90
742801  8 43 13.5  3 23 55  4.30
742952  18 52 39.6  -52 6 27  5.17
743091  18 50 50.5  -22 9 44  6.61
743251  18 50 20.0  -7 54 27  6.80
743412  8 40 43.6  -57 32 43  6.34
743712  8 41 56.9  -45 24 39  5.23
743752  8 40 37.0  -59 45 40  4.33
743872  18 52 27.1  -46 35 43  5.54
743931  8 43 59.7  4 20 5  6.37
743951  8 43 40.4  -7 14 1  4.62
744052  8 39 05.2  -70 23 13  5.20
744302  18 53 12.1  -51 55 52  6.31
744552  8 42 16.0  -48 5 57  5.51
744641  18 50 58.5  -9 46 27  5.83
744742  18 53 02.5  -48 21 36  6.19
744751  8 42 57.0  -35 56 36  6.42
745002  18 52 59.6  -46 35 9  6.19
745352  8 42 18.9  -53 6 0  5.52
745602  8 42 25.5  -53 6 50  4.86
745691  18 50 45.6  10 58 35  6.55
745751  8 43 35.5  -33 11 11  3.68
745891  18 51 22.1  -3 19 4  6.10
745911  8 45 01.3  5 40 50  6.13
746222  8 42 20.9  -55 46 27  6.29
746301  18 52 28.5  -26 39 1  6.29
746311  18 52 37.0  -29 22 46  6.13
746322  18 52 41.7  -30 44 3  6.63
746881  8 45 20.8  -2 36 3  6.41
746942  18 56 57.0  -67 14 1  4.44
747061  8 44 55.2  -21 10 4  6.11
747302  18 54 32.3  -49 52 43  6.60
747532  8 43 40.3  -49 49 22  5.16
747722  8 44 24.0  -42 38 57  4.07
747941  8 46 02.5  -2 2 56  5.70
748241  8 44 51.9  -37 8 50  5.76
748531  18 52 01.9  13 57 56  6.14
748601  8 46 06.9  -11 0 23  6.25
748661  18 53 01.9  -9 34 34  6.34
748741  8 46 46.6  6 25 8  3.38
748772  18 56 54.7  -62 48 4  6.48
748791  8 45 49.3  -25 23 15  6.10
749181  8 46 22.5  -13 32 52  4.32
749471  18 54 00.1  -21 21 35  5.69
749562  8 44 42.2  -54 42 30  1.96
749741  18 54 10.2  -22 44 42  4.83
749881  8 47 15.0  -1 53 50  5.29
750632  8 46 01.7  -46 2 30  3.91
750812  8 46 23.8  -41 7 32  6.21
750862  8 45 05.3  -58 43 30  6.21
751121  8 46 49.2  -34 37 22  6.37
751162  8 43 54.3  -68 12 42  6.32
751371  8 48 26.0  5 50 16  4.36
751401  8 48 04.9  -6 33 31  6.09
751492  8 46 30.6  -45 54 46  5.46
751561  18 54 43.1  -15 36 11  5.10
751712  8 44 30.0  -65 49 32  6.05
751901  18 55 07.1  -22 40 17  4.99
751911  18 55 15.9  -26 17 48  2.02
752192  18 56 16.9  -42 42 38  5.36
752762  8 47 18.9  -46 9 20  5.75
752892  8 47 40.5  -41 44 14  6.36
753112  8 46 42.5  -56 46 11  4.49
753171  18 55 31.0  -16 22 36  5.79
753292  18 58 36.4  -60 12 2  5.14
753331  8 49 21.7  -3 26 35  5.31
753601  18 56 00.6  -23 10 25  5.93
753622  18 56 40.5  -37 20 36  5.38
753872  8 48 08.8  -42 27 50  6.43
754012  19 0 03.5  -66 39 12  6.01
754162  8 41 19.5  -78 57 48  5.47
754662  8 48 00.2  -52 51 2  6.30
754951  8 49 44.9  -21 2 55  6.47
755102  18 58 27.7  -52 56 19  4.87
755151  18 55 27.5  6 36 55  5.57
755292  18 57 34.7  -39 49 24  6.31
756051  8 49 51.5  -32 46 50  5.21
756291  8 50 02.2  -29 27 47  5.87
756302  8 49 39.2  -40 19 14  5.48
756381  18 56 13.2  4 12 13  4.62
756391  18 56 14.6  4 12 7  4.98
756401  18 56 22.7  -1 48 0  6.22
756491  8 50 21.6  -28 37 5  6.17
756541  8 49 52.4  -39 8 30  6.39
756791  18 56 25.6  2 28 16  6.15
756871  18 57 20.5  -20 39 23  5.08
756911  8 50 31.9  -27 42 36  4.01
757102  8 49 47.7  -45 18 29  4.93
757371  8 51 34.5  -7 10 38  5.54
757431  18 56 06.2  18 6 19  5.69
757441  18 56 03.9  17 59 42  6.63
757472  8 43 12.4  -79 4 11  6.05
757511  18 57 03.7  -5 50 46  4.83
757592  8 50 21.0  -42 5 24  6.00
757751  18 57 43.8  -21 6 24  3.51
757942  18 58 21.3  -31 2 10  6.12
758111  8 52 24.2  5 20 24  6.33
758132  18 58 43.4  -37 6 27  4.87
758212  8 50 33.5  -46 31 45  5.10
758521  18 58 20.5  -24 52 36  6.62
758552  18 59 11.1  -39 32 5  6.49
758691  18 57 16.6  2 32 7  5.57
758921  18 58 24.6  -22 31 46  6.14
759161  8 52 30.7  -13 14 1  6.13
759262  8 51 27.9  -42 30 16  6.55
759862  19 3 29.7  -68 45 19  5.88
760011  8 52 26.1  -32 30 33  6.50
760721  8 52 38.6  -36 32 44  6.42
760951  18 58 23.8  6 14 25  6.21
761101  8 52 48.0  -38 43 27  5.82
761132  8 51 36.6  -57 38 1  5.59
761231  18 59 26.8  -18 34 1  6.37
761432  8 50 34.8  -66 47 35  5.35
761511  8 54 17.9  -5 26 4  6.00
761551  18 58 14.7  17 21 39  5.38
761612  8 52 38.6  -48 21 33  5.91
761621  18 59 23.8  -12 50 26  5.53
762302  8 52 40.8  -52 7 45  6.39
762321  18 58 46.9  13 54 24  5.89
762362  8 45 55.2  -79 30 16  5.79
762461  19 0 24.8  -24 56 32  6.36
762692  19 1 03.2  -37 3 39  6.69
762702  8 49 50.3  -72 33 3  6.11
762702  19 1 04.3  -37 3 43  6.40
762941  8 55 23.6  5 56 44  3.11
763011  18 58 45.1  19 47 39  6.50
763031  18 59 05.7  13 37 21  5.23
763041  18 59 17.5  10 8 27  6.75
763042  8 53 50.7  -40 26 51  6.47
763462  8 53 03.8  -56 38 58  6.03
763602  8 53 50.7  -47 31 15  5.33
763691  8 55 29.5  -7 58 13  6.91
763701  8 55 29.6  -7 58 16  6.67
763761  8 55 12.4  -18 14 29  5.75
764111  18 59 37.4  15 4 6  4.02
764252  19 2 08.7  -41 54 36  6.23
764831  8 55 31.5  -27 40 55  4.89
764941  8 56 36.9  4 14 12  6.14
765121  8 55 55.9  -23 49 6  6.39
765371  19 1 37.8  -22 41 44  6.24
765382  8 53 48.7  -60 21 15  5.78
765662  8 55 19.3  -45 2 30  6.26
765791  8 56 34.1  -16 42 34  5.96
765931  19 1 33.5  -15 16 57  6.32
766291  8 57 42.0  9 23 16  6.19
766382  19 3 06.9  -42 5 43  4.75
766402  8 54 54.0  -58 14 24  6.38
766532  8 55 11.9  -54 57 56  5.71
766642  19 3 57.4  -51 1 7  5.93
766781  19 1 40.8  -5 44 20  4.02
766871  19 2 36.7  -29 52 49  2.60
767041  19 2 27.7  -24 50 49  5.65
767232  19 3 17.7  -38 15 12  5.74
767282  8 55 02.8  -60 38 41  3.84
767571  8 58 08.2  1 32 30  6.59
767761  19 1 05.5  19 18 35  6.39
768052  8 56 19.4  -52 43 25  4.69
768841  19 3 03.8  -19 14 43  6.05
769031  19 3 07.0  -19 6 12  6.37
769321  8 58 43.9  -16 7 58  5.86
769811  19 2 21.6  8 22 27  6.30
769841  19 2 54.5  -3 41 56  5.42
770022  8 56 58.4  -59 13 46  4.92
770202  8 57 55.8  -48 34 24  5.87
770742  19 4 25.1  -31 2 49  5.50
770841  8 59 39.9  -19 12 29  6.18
770871  8 59 15.7  -28 48 22  6.25
771402  8 58 52.3  -47 14 5  5.18
771712  19 6 19.9  -52 20 27  5.16
771781  19 3 32.2  1 49 8  5.83
771991  19 2 52.6  19 39 40  6.09
772411  19 4 41.0  -21 44 30  3.77
772501  9 1 31.4  5 38 27  6.07
772582  9 0 05.4  -41 15 14  4.45
773202  9 0 22.2  -43 10 24  6.07
773321  19 4 10.7  3 19 50  6.73
773361  19 4 24.2  -5 41 6  6.90
773531  9 1 58.0  0 28 58  5.67
773611  9 1 11.4  -26 39 50  6.20
773702  8 59 24.1  -59 5 1  5.16
773892  19 9 52.7  -68 25 29  5.33
774062  19 6 55.6  -48 17 57  5.97
774451  9 2 44.8  7 17 53  5.85
774631  19 4 57.6  -4 1 53  5.42
774742  19 6 25.1  -37 3 48  4.93
774752  9 1 20.8  -41 51 52  5.55
774752  19 6 25.1  -37 3 48  4.99
774822  21 8 46.2  -88 57 23  5.47
775171  19 5 41.2  -15 39 37  5.97
775521  19 5 18.6  -1 30 46  6.53
775652  19 6 52.5  -37 48 37  6.16
775801  9 2 06.4  -39 24 9  6.27
776152  9 0 45.7  -60 57 50  5.79
776532  9 1 44.6  -52 11 18  5.23
776651  9 3 08.8  -25 30 16  6.74
776932  19 8 52.1  -55 43 13  6.49
777161  19 6 56.4  -27 40 14  3.32
777241  19 5 24.6  13 51 48  2.99
777561  19 6 14.9  -4 52 57  3.44
778171  19 6 52.3  -16 13 44  6.03
778461  19 7 30.9  -28 38 13  6.04
778631  19 7 08.5  -18 44 16  6.29
778732  19 8 20.9  -40 29 48  4.59
778872  9 1 08.5  -68 41 2  5.88
779072  9 3 05.2  -53 32 59  6.40
779401  19 6 22.2  8 13 48  6.09
779961  9 5 58.4  5 5 32  4.97
780042  9 4 09.3  -47 5 52  3.75
780452  9 2 26.8  -66 23 46  4.00
780651  19 7 09.1  0 38 30  6.56
780751  19 8 14.6  -24 39 25  6.30
781251  19 6 58.6  11 4 17  5.09
781751  19 8 16.7  -19 17 24  5.54
781961  9 6 59.9  1 27 46  6.17
782532  19 9 28.3  -37 54 16  4.11
782542  19 9 39.7  -39 49 41  6.46
782932  9 4 48.0  -57 51 9  6.44
782992  19 9 36.4  -36 9 53  6.56
783222  19 9 57.8  -41 53 33  5.88
783452  19 10 01.7  -39 20 27  4.11
784281  19 7 57.3  16 51 12  6.07
785241  19 9 45.8  -21 1 25  2.89
785411  9 8 02.9  -25 51 30  4.58
785482  9 6 34.0  -55 48 12  6.11
785551  19 9 48.1  -19 48 13  6.13
785561  9 8 42.2  -8 35 22  5.60
785961  19 8 59.9  6 4 24  5.22
785992  9 7 14.7  -51 12 43  6.73
786191  19 8 40.2  16 51 5  6.48
786282  19 11 01.8  -39 0 18  6.36
786322  9 6 07.6  -64 29 59  6.37
786472  9 7 59.8  -43 25 57  2.21
786681  9 9 11.5  -12 21 28  5.77
786761  9 8 43.5  -26 46 4  6.15
787021  9 9 04.3  -18 19 43  5.73
787321  9 9 35.5  -8 47 16  5.46
787441  19 9 51.6  0 25 41  6.34
787642  9 5 38.3  -70 32 20  4.71
787912  9 5 08.8  -72 36 10  4.48
788401  19 11 18.9  -29 30 8  6.30
788452  19 12 46.1  -50 29 11  6.13
789222  9 9 56.4  -30 21 55  5.59
789372  19 12 09.8  -37 34 58  6.57
789551  9 10 23.0  -23 10 36  6.53
790092  19 16 28.5  -69 11 26  6.27
790252  9 9 45.1  -49 25 29  6.48
790661  9 11 55.6  5 28 6  6.35
791081  9 12 12.9  3 52 2  6.14
791811  9 11 58.7  -19 44 52  5.73
791862  9 11 04.4  -44 52 5  5.00
791931  9 12 26.0  -7 6 35  6.11
792011  19 12 28.0  -21 39 29  6.41
792412  9 11 41.0  -39 15 32  6.00
792752  9 11 33.2  -46 35 2  5.79
793231  19 13 13.7  -25 54 24  5.80
793512  9 10 58.0  -58 58 1  3.44
793662  19 17 12.0  -66 39 41  5.53
794061  19 12 40.7  -7 56 22  5.34
794162  9 12 30.6  -43 36 49  5.57
794332  19 14 39.7  -45 11 36  5.92
794472  9 11 16.6  -62 19 2  3.97
794691  9 14 21.9  2 18 51  3.88
794971  19 13 15.5  -12 16 57  5.51
795232  9 13 25.9  -38 36 59  6.31
795242  9 13 18.6  -42 16 25  6.29
795881  19 12 34.4  16 50 47  6.73
796212  9 13 34.5  -47 20 19  5.92
796942  9 14 08.2  -44 8 45  5.85
796982  9 12 55.6  -59 24 52  5.54
797352  9 14 24.5  -43 13 39  5.25
797521  9 15 24.9  -15 1 29  6.35
797611  19 13 42.7  2 17 37  5.15
797911  19 13 44.1  5 30 57  6.49
798072  9 14 57.2  -37 36 9  5.86
798372  8 56 41.1  -85 39 47  5.42
798462  9 14 18.0  -55 34 11  5.27
798862  19 16 21.7  -45 27 59  5.40
799002  9 15 14.6  -45 33 20  6.25
799101  9 16 41.7  -6 21 11  5.24
799172  9 15 36.7  -38 34 12  4.94
799311  9 16 41.3  -8 44 41  5.47
799402  9 15 45.1  -37 24 48  4.62
799491  19 15 33.2  -24 10 45  6.25
799501  19 15 32.4  -25 15 24  4.85
800072  9 13 12.0  -69 43 2  1.68
800501  9 17 07.5  -14 34 25  5.84
800572  9 16 04.2  -44 53 55  6.04
800932  19 16 32.8  -33 31 18  6.25
800942  9 15 17.5  -58 23 19  6.02
801082  9 16 23.1  -44 15 57  5.12
801262  9 15 35.0  -57 34 41  6.32
801342  19 18 09.4  -53 23 12  6.38
801702  9 16 57.2  -39 24 5  5.33
801942  9 12 12.3  -76 39 47  6.14
802302  9 16 12.2  -57 32 29  4.34
802621  19 15 20.1  15 5 1  5.57
804042  9 17 05.4  -59 16 31  2.25
804352  9 17 42.3  -54 29 43  6.33
804471  9 19 33.7  -11 18 51  6.62
804562  9 18 05.8  -51 3 4  5.26
804791  9 19 33.2  -15 50 4  5.78
804821  19 16 31.0  4 50 5  5.59
804991  9 19 46.4  -11 58 30  4.79
805401  19 17 38.1  -18 57 11  4.96
805551  19 16 26.8  14 32 41  5.63
805582  9 18 42.2  -51 33 38  5.87
805861  9 20 29.0  -9 33 21  4.80
805902  9 19 47.9  -34 6 12  6.39
806712  9 17 17.2  -68 41 22  5.39
807102  9 17 51.7  -67 3 3  6.11
807191  9 20 55.5  -15 37 4  6.33
807732  9 20 44.2  -31 45 38  6.82
807742  9 20 29.6  -37 34 53  6.05
807812  9 19 32.6  -55 11 12  6.28
807821  19 17 48.2  2 1 54  6.19
808681  19 17 49.0  11 35 43  5.28
808741  9 21 29.6  -25 57 56  4.72
808852  19 19 40.0  -35 25 17  5.59
809281  19 19 00.1  -15 32 11  6.06
809502  9 17 27.4  -74 44 5  5.86
809512  9 17 25.4  -74 53 40  5.29
809721  19 18 32.5  1 5 7  5.10
810091  9 22 50.9  -9 50 20  6.53
810192  19 24 05.4  -68 22 16  6.34
810342  9 21 50.9  -42 11 42  5.58
810531  19 18 50.9  0 20 21  6.41
811012  9 20 56.8  -62 24 17  4.81
811092  19 20 26.2  -31 49 4  6.58
811221  19 18 52.7  9 37 5  6.32
811342  9 22 36.7  -39 46 29  6.54
811362  9 22 24.0  -46 2 51  5.75
811572  9 21 50.0  -55 30 54  5.63
811691  9 23 12.3  -28 50 2  4.69
811821  19 18 48.5  19 36 38  6.58
811882  9 22 06.8  -55 0 39  2.50
812401  19 20 38.1  -22 24 9  5.58
812962  19 22 51.1  -54 25 25  5.05
813092  9 23 44.8  -37 45 26  6.48
813212  19 21 29.9  -34 59 2  6.48
813331  19 19 39.3  12 22 29  5.53
813831  19 19 53.0  11 32 6  6.02
813911  19 20 32.9  -5 24 57  5.01
814012  19 22 09.6  -42 0 58  6.34
814112  9 24 16.3  -39 25 33  6.06
814201  9 25 24.0  -5 7 3  5.59
814401  19 20 35.7  0 53 32  5.49
814542  19 22 38.3  -44 27 32  4.01
814712  9 23 59.5  -51 44 14  6.08
815022  9 23 27.4  -60 18 9  6.30
815581  19 21 37.1  -19 14 3  6.26
815671  9 26 22.3  -1 27 50  6.01
815771  19 21 40.4  -17 50 50  3.93
816132  9 24 05.7  -61 38 56  5.99
816151  19 21 43.6  -15 57 18  4.61
816232  19 23 13.2  -44 47 59  4.29
816451  19 21 50.9  -18 18 30  5.87
817281  9 27 14.6  -9 13 25  6.54
817531  9 26 44.8  -28 47 15  6.10
817802  9 26 28.5  -40 30 7  6.20
817971  9 27 35.2  -8 39 31  1.98
817991  9 27 18.4  -22 20 38  4.69
818091  9 27 46.8  -6 4 16  5.38
818302  9 25 27.1  -61 57 1  5.77
818482  9 26 18.1  -53 22 45  5.11
818581  9 28 27.5  9 3 24  5.41
818581  19 22 20.7  -8 12 4  6.31
818692  19 23 53.2  -40 36 58  3.97
818731  9 28 29.2  8 11 18  5.71
819071  19 22 21.5  0 15 9  5.83
819192  9 27 38.4  -35 0 28  6.65
819252  19 24 21.4  -43 43 23  6.17
819801  9 29 02.2  -1 15 25  6.27
819971  9 29 08.9  -2 46 8  4.60
820381  19 23 04.6  -7 24 1  6.32
820431  9 29 24.5  -2 12 19  6.14
820682  9 26 44.2  -64 55 47  6.05
820741  9 29 32.4  -4 14 50  6.26
820771  9 29 12.6  -20 44 55  5.66
821011  19 22 48.4  9 54 47  6.35
821502  9 29 14.7  -35 57 5  4.51
821652  9 29 16.3  -38 24 14  6.19
821801  9 29 49.9  -23 20 43  6.24
821801  19 24 30.1  -27 51 56  6.04
822051  9 29 54.5  -26 35 23  5.48
822321  9 30 22.6  -15 34 38  5.85
822391  19 23 08.2  14 55 16  6.64
822861  19 25 04.1  -29 18 33  5.93
823472  9 28 47.0  -62 16 23  5.92
823502  9 27 06.4  -71 36 8  5.47
823691  19 25 16.5  -24 30 31  5.03
823811  9 31 57.6  9 42 57  5.07
823832  9 30 45.4  -31 53 29  7.00
823842  9 30 46.1  -31 53 22  6.18
824062  9 28 30.6  -66 42 7  5.91
824161  19 25 29.7  -23 57 44  5.43
824192  9 30 05.2  -51 31 2  5.45
824281  9 31 38.9  -10 33 8  6.14
824342  9 30 42.0  -40 28 0  3.60
824461  9 31 58.9  -1 11 6  4.57
824751  19 25 01.6  -4 53 3  6.52
824771  9 31 55.8  -10 22 14  6.13
824771  19 25 21.6  -13 53 49  5.69
824901  19 24 22.1  16 56 16  6.25
825092  19 27 48.1  -54 19 31  5.69
825132  9 31 32.2  -31 52 19  5.93
825142  9 31 32.9  -35 42 54  5.87
825362  9 30 23.4  -58 21 42  5.88
825431  9 32 41.4  1 51 51  6.11
825542  9 24 09.1  -80 47 13  5.36
825721  19 24 58.2  11 56 40  5.16
825731  9 32 20.4  -19 24 1  5.74
826101  9 32 18.5  -28 37 41  6.46
826291  19 26 19.2  -21 46 36  5.59
826381  9 33 02.1  -8 30 19  6.12
826401  19 25 29.9  3 6 53  3.36
826451  19 26 11.1  -15 3 11  5.72
826601  9 32 55.8  -13 31 1  5.94
826682  9 31 13.3  -57 2 4  3.13
826741  9 33 20.1  -7 11 24  6.24
826781  19 26 24.6  -14 33 4  6.70
826811  19 26 56.5  -29 44 36  5.67
826942  9 32 19.3  -40 38 58  5.35
827092  19 31 10.9  -68 26 2  5.96
827341  9 33 12.5  -21 6 57  5.01
827471  9 33 26.2  -22 51 50  5.91
827621  19 25 28.6  19 47 55  5.16
827852  9 33 07.8  -39 7 44  6.43
828351  19 26 31.1  0 20 19  4.66
828582  9 31 32.9  -66 43 10  6.27
828701  9 34 32.7  -5 54 54  5.56
828932  19 29 52.6  -55 26 29  6.13
829001  19 26 24.1  13 1 26  5.74
829012  9 32 14.6  -62 47 20  6.10
829191  19 26 13.2  20 5 52  5.63
829551  19 26 28.7  19 53 29  5.81
829842  9 33 44.5  -49 0 18  5.12
830072  19 29 23.9  -43 26 45  5.71
830282  19 30 34.5  -55 6 36  6.30
830582  9 34 08.8  -51 15 19  5.01
830952  9 31 36.3  -73 4 51  5.47
831041  9 35 33.7  -19 35 1  6.31
831082  9 35 11.8  -35 49 26  6.49
